Grupo,Materia.,Lunes,Martes,Miercoles,Jueves,Viernes,Class
1 [] [] SIN PROFESOR ASIGNADO,,,,,,,
750I/A,TECNOLOGÍAS DE SERVICIOS WEB,0708/FF6,0708/LBD,0708/FF6,0708/LBD,0708/FF6,5
750H/A,ANÁLISIS Y DISEÑO DE ALGORITMOS,0708/FF5,0708/LBD2,0708/FF5,0708/LBD2,0708/FF5,5
2531/CA,PROGRAMACIÓN,0910/LBD2,0910/FFD,0910/LBD2,0910/FFD,,4
8504/B,ADMINISTRACIÓN DE REDES,0910/LR,0910/FF8,0910/LR,0910/FF8,,4
4542/A,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,0910/LCA,0910/FF5,0910/LCA,0910/FF5,,4
3115/A,SISTEMAS OPERATIVOS,1213/AV1,1213/AV1,1213/AV1,1213/AV1,,4
2135/A,PROGRAMACIÓN VISUAL,1314/LR,1314/LR,1314/LR,1314/LR,1314/LR,5
4506/B,TALLER DE SISTEMAS OPERATIVOS,1314/LBD,1314/LBD,1314/LBD,1314/LBD,,4
2605/B,COMPUTACIÓN PARA INGENIERÍA PETROLERA,1314/LSO,1314/FF7,1314/LSO,1314/FF7,1314/LIA,5
6503/A,REDES DE COMPUTADORAS,1415/LR,1415/FF3,1415/LR,1415/FF3,1415/LR,5
3556/B,PROGRAMACIÓN ESTRUCTURADA,1516/LCA,1516/FFD,1516/LCA,1516/FFD,1516/LCG2,5
4556/B,PROGRAMACIÓN VISUAL,1617/LCG1,1617/LCG1,1617/LCG1,1617/LCG1,1617/LCG1,5
1502/E,FUNDAMENTOS DE PROGRAMACIÓN,1617/FF2,1617/LCA,1617/FF2,1617/LCA,1617/LCA,5
4542/B,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN,1617/FF1,1617/LR,1617/FF1,1617/LR,,4
5505/C,GRAFICACIÓN,1718/LR,1718/FF7,1718/LR,1718/FF7,,4
2531/EA,PROGRAMACIÓN,1819/FF1,1819/LCA,1819/FF1,1819/LCA,,4
