Archivo,Profesor,Grupo,Materia,Horas_Semana,Dia,Hora_Inicio,Hora_Fin,Bloque_Horario,Salon,Tipo_Salon,Piso,Es_Invalido,Es_Primer_Semestre
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,750I/A,TECNOLOGÍAS DE SERVICIOS WEB,5,Lunes,07:08,07:09,0708,FF6,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,750I/A,TECNOLOGÍAS DE SERVICIOS WEB,5,Martes,07:08,07:09,0708,LBD,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,750I/A,TECNOLOGÍAS DE SERVICIOS WEB,5,Miercoles,07:08,07:09,0708,FF6,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,750I/A,TECNOLOGÍAS DE SERVICIOS WEB,5,Jueves,07:08,07:09,0708,LBD,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,750I/A,TECNOLOGÍAS DE SERVICIOS WEB,5,Viernes,07:08,07:09,0708,FF6,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,750H/A,ANÁLISIS Y DISEÑO DE ALGORITMOS,5,Lunes,07:08,07:09,0708,FF5,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,750H/A,ANÁLISIS Y DISEÑO DE ALGORITMOS,5,Martes,07:08,07:09,0708,LBD2,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,750H/A,ANÁLISIS Y DISEÑO DE ALGORITMOS,5,Miercoles,07:08,07:09,0708,FF5,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,750H/A,ANÁLISIS Y DISEÑO DE ALGORITMOS,5,Jueves,07:08,07:09,0708,LBD2,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,750H/A,ANÁLISIS Y DISEÑO DE ALGORITMOS,5,Viernes,07:08,07:09,0708,FF5,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,2531/CA,PROGRAMACIÓN,4,Lunes,09:10,09:11,0910,LBD2,Laboratorio,Segundo Piso,0,0
